material,materialid,maintenance
Städning,0,2022-11-01T09:01:54
Metallförpackningar,3,2022-10-31T20:32:52
Pappersförpackningar,5,2022-10-31T09:38:59
Tidningar,13,2022-10-20T10:56:38
Plastförpackningar,16,2022-11-01T16:47:01
Ofärgade glasförpackningar,18,2022-08-22T17:36:04
Färgade glasförpackningar,19,2022-08-22T17:36:04
Städning,0,2022-11-04T09:20:48
Pappersförpackningar,5,2022-11-04T17:54:16
Städning,0,2022-11-06T09:34:29
Pappersförpackningar,5,2022-11-07T09:41:09
Städning,0,2022-11-08T08:48:23
Plastförpackningar,16,2022-11-08T15:12:31
Städning,0,2022-11-11T09:27:34
Pappersförpackningar,5,2022-11-11T10:33:35
Städning,0,2022-11-13T09:22:58
Pappersförpackningar,5,2022-11-14T09:48:01
Städning,0,2022-11-15T08:57:39
Plastförpackningar,16,2022-11-15T16:36:13
Ofärgade glasförpackningar,18,2022-11-16T17:27:09
Färgade glasförpackningar,19,2022-11-16T17:27:09
Städning,0,2022-11-18T09:23:40
Pappersförpackningar,5,2022-11-18T08:55:41
Städning,0,2022-11-20T09:40:18
Pappersförpackningar,5,2022-11-21T09:34:18
Städning,0,2022-11-22T09:06:36
Plastförpackningar,16,2022-11-22T18:23:48
Städning,0,2022-11-25T10:53:25
Städning,0,2022-11-27T09:34:27
Pappersförpackningar,5,2022-11-28T10:45:06
Städning,0,2022-11-29T09:33:15
Plastförpackningar,16,2022-11-29T16:09:32
Städning,0,2022-12-13T08:51:55
Pappersförpackningar,5,2022-12-11T08:52:06
Tidningar,13,2022-12-01T11:28:06
Plastförpackningar,16,2022-12-13T17:03:10
Städning,0,2023-01-03T08:33:23
Metallförpackningar,3,2022-12-26T10:18:39
Pappersförpackningar,5,2023-01-02T09:22:01
Plastförpackningar,16,2022-12-27T16:53:35
Städning,0,2023-01-13T09:02:49
Pappersförpackningar,5,2023-01-09T09:25:36
Plastförpackningar,16,2023-01-10T15:52:08
Städning,0,2023-01-15T09:09:12
Pappersförpackningar,5,2023-01-16T14:51:11
Städning,0,2023-01-17T08:49:57
Plastförpackningar,16,2023-01-17T17:40:20
Städning,0,2023-01-20T09:29:58
Städning,0,2023-01-22T09:21:12
Städning,0,2023-01-24T09:24:55
Pappersförpackningar,5,2023-01-23T10:06:14
Plastförpackningar,16,2023-01-24T15:37:30
Städning,0,2023-01-27T09:21:36
Städning,0,2023-01-29T09:40:56
Pappersförpackningar,5,2023-01-30T10:45:36
Städning,0,2023-01-31T08:55:04
Plastförpackningar,16,2023-01-31T17:21:40
Städning,0,2023-02-03T09:25:50
Städning,0,2023-02-05T09:20:31
Pappersförpackningar,5,2023-02-06T10:11:21
Städning,0,2023-02-07T08:54:57
Plastförpackningar,16,2023-02-07T18:15:11
Städning,0,2023-02-10T08:48:55
Städning,0,2023-02-12T09:37:15
Pappersförpackningar,5,2023-02-13T09:13:00
Städning,0,2023-02-14T08:48:49
Plastförpackningar,16,2023-02-14T16:09:34
Städning,0,2023-02-17T08:59:10
Städning,0,2023-02-19T09:24:22
Pappersförpackningar,5,2023-02-20T09:16:45
Städning,0,2023-02-21T11:40:16
Metallförpackningar,3,2023-02-21T09:44:37
Plastförpackningar,16,2023-02-21T16:41:44
Tidningar,13,2023-02-23T15:26:08
Städning,0,2023-02-24T08:51:45
Ofärgade glasförpackningar,18,2023-02-24T19:20:42
Färgade glasförpackningar,19,2023-02-24T19:20:42
Städning,0,2023-02-26T09:31:46
Pappersförpackningar,5,2023-02-27T11:48:27
Städning,0,2023-02-28T08:51:01
Plastförpackningar,16,2023-02-28T15:55:46
Städning,0,2023-03-03T08:55:31
Städning,0,2023-03-05T09:48:52
Pappersförpackningar,5,2023-03-06T14:11:52
Städning,0,2023-03-07T09:03:25
Plastförpackningar,16,2023-03-08T16:31:09
Städning,0,2023-03-10T13:29:09
Städning,0,2023-03-12T09:37:56
Städning,0,2023-03-14T08:37:49
Plastförpackningar,16,2023-03-14T15:39:30
Städning,0,2023-03-17T09:07:53
Städning,0,2023-03-19T09:24:20
Pappersförpackningar,5,2023-03-20T09:48:43
Städning,0,2023-03-21T08:42:51
Plastförpackningar,16,2023-03-21T15:22:52
Städning,0,2023-03-24T08:55:33
Städning,0,2023-03-26T09:37:28
Pappersförpackningar,5,2023-03-27T12:57:58
Städning,0,2023-03-28T08:48:05
Plastförpackningar,16,2023-03-28T16:08:38
Städning,0,2023-03-31T09:04:56
Städning,0,2023-04-02T09:56:50
Pappersförpackningar,5,2023-04-03T16:34:38
Städning,0,2023-04-04T08:59:52
Plastförpackningar,16,2023-04-04T16:11:52
Tidningar,13,2023-04-06T15:33:41
Städning,0,2023-04-07T09:16:19
Städning,0,2023-04-09T09:22:00
Pappersförpackningar,5,2023-04-10T10:28:32
Städning,0,2023-04-11T08:38:35
Plastförpackningar,16,2023-04-11T15:09:41
Städning,0,2023-04-14T09:12:31
